Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description
Dirty Work,1998,82,6.4,29225,24.0,9980000.0,['Comedy'],PG-13,['Bob Saget'],"['Norm MacDonald', 'Jack Warden', 'Artie Lange', 'Traylor Howard']","['A', 'loser', 'finds', 'success', 'in', 'the', 'revenge-for-hire', 'business.']"
A Midsummer Night's Dream,1999,116,6.4,26549,61.0,16070000.0,"['Comedy', ' Fantasy', ' Romance']",PG-13,['Michael Hoffman'],"['Kevin Kline', 'Michelle Pfeiffer', 'Rupert Everett', 'Stanley Tucci']","[""Lovers'"", 'lives', 'are', 'complicated', 'by', 'city', 'law,', 'feuding', 'faerie', 'royalty,', 'and...', 'love.']"
Always,1989,122,6.4,32124,50.0,43860000.0,"['Drama', ' Fantasy', ' Romance']",PG,['Steven Spielberg'],"['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson', 'John Goodman']","['The', 'spirit', 'of', 'a', 'recently', 'deceased', 'expert', 'pilot', 'mentors', 'a', 'newer', 'pilot', 'while', 'watching', 'him', 'fall', 'in', 'love', 'with', 'the', 'girlfriend', 'that', 'he', 'left', 'behind.']"
Pacific Heights,1990,102,6.4,21992,55.0,29380000.0,['Thriller'],R,['John Schlesinger'],"['Melanie Griffith', 'Matthew Modine', 'Michael Keaton', 'Mako']","['A', 'couple', 'work', 'hard', 'to', 'renovate', 'their', 'dream', 'house', 'and', 'become', 'landlords', 'to', 'pay', 'for', 'it.', 'Unfortunately,', 'one', 'of', 'their', 'tenants', 'has', 'plans', 'of', 'his', 'own.']"
The Adventures of Ford Fairlane,1990,104,6.4,18903,24.0,21410000.0,"['Action', ' Adventure', ' Comedy']",R,['Renny Harlin'],"['Andrew Dice Clay', 'Lauren Holly', 'Wayne Newton', 'Priscilla Presley']","['A', 'vulgar', 'private', 'detective', 'is', 'hired', 'to', 'find', 'a', 'missing', 'groupie', 'and', 'is', 'drawn', 'into', 'a', 'mystery', 'involving', 'a', 'series', 'of', 'murders', 'tied', 'to', 'the', 'music', 'industry.']"
Phenomenon,1996,123,6.4,82261,41.0,104640000.0,"['Drama', ' Fantasy', ' Romance']",PG,['Jon Turteltaub'],"['John Travolta', 'Kyra Sedgwick', 'Forest Whitaker', 'Robert Duvall']","['An', 'ordinary', 'man', 'sees', 'a', 'bright', 'light', 'descend', 'from', 'the', 'sky,', 'and', 'discovers', 'he', 'now', 'has', 'super-intelligence', 'and', 'telekinesis.']"
The Raven,2012,110,6.4,87579,44.0,16010000.000000002,"['Crime', ' Mystery', ' Thriller']",R,['James McTeigue'],"['John Cusack', 'Alice Eve', 'Luke Evans', 'Brendan Gleeson']","['When', 'a', 'madman', 'begins', 'committing', 'horrific', 'murders', 'inspired', 'by', 'Edgar', 'Allan', ""Poe's"", 'works,', 'a', 'young', 'Baltimore', 'detective', 'joins', 'forces', 'with', 'Poe', 'to', 'stop', 'him', 'from', 'making', 'his', 'stories', 'a', 'reality.']"
Certain Women,2016,107,6.4,14561,82.0,1030000.0,['Drama'],R,['Kelly Reichardt'],"['Michelle Williams', 'Kristen Stewart', 'Laura Dern', 'James Le Gros']","['The', 'lives', 'of', 'three', 'women', 'intersect', 'in', 'small-town', 'America,', 'where', 'each', 'is', 'imperfectly', 'blazing', 'a', 'trail.']"
Inventing the Abbotts,1997,110,6.4,13661,49.0,5940000.0,"['Drama', ' Romance']",R,"[""Pat O'Connor""]","['Liv Tyler', 'Jennifer Connelly', 'Joaquin Phoenix', 'Billy Crudup']","['Two', 'working', 'class', 'brothers', 'court', 'three', 'wealthy', 'and', 'beautiful', 'sisters', 'in', 'a', 'small', 'Illinois', 'town.']"
Unsane,2018,98,6.4,48826,63.0,7730000.0,"['Drama', ' Horror', ' Mystery']",R,['Steven Soderbergh'],"['Claire Foy', 'Joshua Leonard', 'Jay Pharoah', 'Juno Temple']","['A', 'young', 'woman', 'is', 'involuntarily', 'committed', 'to', 'a', 'mental', 'institution,', 'where', 'she', 'is', 'confronted', 'by', 'her', 'greatest', 'fear', '-', 'but', 'is', 'it', 'real', 'or', 'a', 'product', 'of', 'her', 'delusion?']"
